municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_724301,cnae_724302,cnae_729403,cnae_729404,cnae_1510600,cnae_1610205,cnae_2019399,cnae_2312500,cnae_2449199,cnae_2610800
LAMARAO,291910,Arsênio,BA,9,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAPA,411320,Arsênio,PR,117,0,56,61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LARANJAL,313800,Arsênio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
LARANJAL,411325,Arsênio,PR,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARANJAL PAULISTA,352640,Arsênio,SP,51,15,5,19,12,0,12,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0
LARANJEIRAS,280360,Arsênio,SE,1,1,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0
LARANJEIRAS DO SUL,411330,Arsênio,PR,36,10,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAURENTINO,420950,Arsênio,SC,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAURO MULLER,420960,Arsênio,SC,19,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAVRAS,313820,Arsênio,MG,25,8,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LAVRAS DO SUL,431150,Arsênio,RS,25,4,20,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LAVRINHAS,352660,Arsênio,SP,21,3,3,13,2,0,2,0.1111111111111111,0,0,0,0,0,0,0,1,0,0,0
LEANDRO FERREIRA,313830,Arsênio,MG,3,1,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0
LEBON REGIS,420970,Arsênio,SC,62,1,8,41,12,0,12,0.19672131147540983,0,0,0,0,0,0,0,0,0,0,0
LENCOIS,291930,Arsênio,BA,18,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEOBERTO LEAL,420980,Arsênio,SC,20,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEOPOLDO DE BULHOES,521230,Arsênio,GO,28,1,18,6,3,0,3,0.1111111111111111,0,0,0,0,0,1,0,0,0,0,0
LEOPOLIS,411340,Arsênio,PR,26,1,18,5,2,0,2,0.08,0,0,0,0,0,0,0,0,0,0,0
LIBERATO SALZANO,431160,Arsênio,RS,33,0,10,20,3,0,3,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0
LICINIO DE ALMEIDA,291940,Arsênio,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
LIDIANOPOLIS,411342,Arsênio,PR,36,0,12,20,4,0,4,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0
LIMEIRA DO OESTE,313862,Arsênio,MG,13,8,0,2,3,0,3,0.6,0,0,0,0,0,0,0,0,0,0,0
LINDOESTE,411345,Arsênio,PR,20,0,10,9,1,0,1,0.05,0,0,0,0,0,1,0,0,0,0,0
LINDOIA DO SUL,420985,Arsênio,SC,43,5,6,30,2,0,2,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0
LINHA NOVA,431164,Arsênio,RS,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINS,352710,Arsênio,SP,110,5,49,54,2,0,2,0.01904761904761905,0,0,0,0,0,6,0,0,0,0,2
LIVRAMENTO DE NOSSA SENHORA,291950,Arsênio,BA,9,7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LOANDA,411350,Arsênio,PR,26,0,16,10,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1
LONDRINA,411370,Arsênio,PR,307,0,138,167,2,0,2,0.006514657980456026,0,4,0,0,0,10,0,1,1,0,37
LONTRA,313865,Arsênio,MG,7,7,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
LORENA,352720,Arsênio,SP,95,9,13,73,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
LOURDES,352725,Arsênio,SP,15,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUCELIA,352740,Arsênio,SP,42,13,0,12,17,0,17,0.5862068965517241,0,0,0,0,0,0,0,0,0,0,0
LUCIANOPOLIS,352750,Arsênio,SP,24,1,0,20,2,1,3,0.13043478260869565,0.043478260869565216,0,0,0,0,0,0,0,0,0,0
LUIS EDUARDO MAGALHAES,291955,Arsênio,BA,26,8,3,15,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0
LUISLANDIA,313868,Arsênio,MG,3,1,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0
LUIZ ALVES,421000,Arsênio,SC,27,0,2,24,0,1,1,0.037037037037037035,0.037037037037037035,0,0,0,0,2,0,0,0,0,0
LUIZIANA,411373,Arsênio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUIZIANIA,352770,Arsênio,SP,24,5,2,7,10,0,10,0.5263157894736842,0,0,0,0,0,0,0,0,0,0,0
LUNARDELLI,411375,Arsênio,PR,41,1,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUPERCIO,352780,Arsênio,SP,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
LUPIONOPOLIS,411380,Arsênio,PR,20,0,9,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LUTECIA,352790,Arsênio,SP,11,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUZ,313880,Arsênio,MG,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUZIANIA,521250,Arsênio,GO,63,13,0,11,37,2,39,0.78,0.04,2,0,0,0,9,0,1,0,3,2
MACAMBARA,431171,Arsênio,RS,14,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACAUBAS,291980,Arsênio,BA,4,4,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0
MACEDONIA,352820,Arsênio,SP,24,6,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHACALIS,313890,Arsênio,MG,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHADINHO,431170,Arsênio,RS,64,0,62,1,1,0,1,0.015625,0,0,0,0,0,0,0,0,0,0,0
MACIEIRA,421005,Arsênio,SC,22,4,3,5,10,0,10,0.5555555555555556,0,0,0,0,0,0,0,0,0,0,0
MACUCO,330245,Arsênio,RJ,2,0,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0
MADRE DE DEUS DE MINAS,313910,Arsênio,MG,18,18,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MAETINGA,291995,Arsênio,BA,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MAFRA,421010,Arsênio,SC,47,0,2,44,1,0,1,0.02127659574468085,0,0,0,0,0,4,0,0,0,0,0
MAGDA,352830,Arsênio,SP,23,9,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIQUINIQUE,292000,Arsênio,BA,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MAIRI,292010,Arsênio,BA,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MAIRIPORA,352850,Arsênio,SP,94,0,21,44,29,0,29,0.30851063829787234,0,0,0,0,0,0,0,0,0,0,4
MAIRIPOTABA,521260,Arsênio,GO,24,2,7,7,8,0,8,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0
MAJOR GERCINO,421020,Arsênio,SC,26,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAJOR VIEIRA,421030,Arsênio,SC,16,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALACACHETA,313920,Arsênio,MG,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALHADA,292020,Arsênio,BA,12,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALHADA DE PEDRAS,292030,Arsênio,BA,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MALLET,411390,Arsênio,PR,74,7,34,12,21,0,21,0.31343283582089554,0,0,0,0,0,1,0,0,0,0,0
MAMBAI,521270,Arsênio,GO,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MAMBORE,411400,Arsênio,PR,32,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MANDAGUACU,411410,Arsênio,PR,41,0,18,23,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1
MANDAGUARI,411420,Arsênio,PR,27,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
MANDIRITUBA,411430,Arsênio,PR,63,10,36,12,4,1,5,0.09433962264150944,0.018867924528301886,0,0,0,0,1,1,0,0,0,1
MANFRINOPOLIS,411435,Arsênio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANGA,313930,Arsênio,MG,24,22,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
MANGUEIRINHA,411440,Arsênio,PR,68,16,36,0,16,0,16,0.3076923076923077,0,0,0,0,0,0,1,0,0,0,0
MANOEL RIBAS,411450,Arsênio,PR,17,0,10,4,3,0,3,0.17647058823529413,0,0,0,0,0,0,0,0,0,0,0
MANOEL VIANA,431175,Arsênio,RS,24,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANOEL VITORINO,292040,Arsênio,BA,12,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANSIDAO,292045,Arsênio,BA,11,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARA ROSA,521280,Arsênio,GO,3,2,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0
MARABA PAULISTA,352870,Arsênio,SP,19,5,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARACAI,352880,Arsênio,SP,34,4,11,14,5,0,5,0.16666666666666666,0,0,0,0,0,1,0,0,0,0,0
MARACAJU,500540,Arsênio,MS,82,0,65,10,7,0,7,0.08536585365853659,0,0,0,0,0,1,0,0,0,0,0
MARACAS,292050,Arsênio,BA,38,19,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MARAGOGIPE,292060,Arsênio,BA,23,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARANGUAPE,230770,Arsênio,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MARAU,292070,Arsênio,BA,8,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARAU,431180,Arsênio,RS,31,0,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
MARAVILHA,421050,Arsênio,SC,34,0,2,28,4,0,4,0.11764705882352941,0,0,0,0,0,1,0,0,0,0,1
MARAVILHAS,313970,Arsênio,MG,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARCELINO RAMOS,431190,Arsênio,RS,32,2,29,0,0,1,1,0.03333333333333333,0.03333333333333333,0,0,0,0,0,0,0,0,0,0
MARCIONILIO SOUZA,292080,Arsênio,BA,22,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARECHAL FLORIANO,320334,Arsênio,ES,12,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAREMA,421055,Arsênio,SC,21,1,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARIA HELENA,411470,Arsênio,PR,38,0,18,18,2,0,2,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0
MARIANA PIMENTEL,431198,Arsênio,RS,20,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARIANO MORO,431200,Arsênio,RS,36,1,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARIAPOLIS,352890,Arsênio,SP,45,11,9,20,5,0,5,0.14705882352941177,0,0,0,0,0,0,0,0,0,0,0
MARICA,330270,Arsênio,RJ,4,0,0,1,3,0,3,0.75,0,0,0,0,0,0,0,0,0,0,0
MARILANDIA DO SUL,411490,Arsênio,PR,42,0,26,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MARILENA,411500,Arsênio,PR,12,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINGA,411520,Arsênio,PR,94,1,49,44,0,0,0,0,0,3,0,0,0,10,0,1,0,5,14
MARINOPOLIS,352910,Arsênio,SP,24,7,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARIOPOLIS,411530,Arsênio,PR,19,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARIPA,411535,Arsênio,PR,60,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARMELEIRO,411540,Arsênio,PR,36,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARQUES DE SOUZA,431205,Arsênio,RS,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARQUINHO,411545,Arsênio,PR,32,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARTINHO CAMPOS,314050,Arsênio,MG,20,8,2,8,2,0,2,0.16666666666666666,0,0,0,0,0,1,0,0,0,0,0
MARTINS SOARES,314053,Arsênio,MG,22,2,16,2,2,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0
MASCOTE,292090,Arsênio,BA,28,15,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATA,431210,Arsênio,RS,44,0,8,27,9,0,9,0.20454545454545456,0,0,0,0,0,0,0,0,0,0,0
MATA DE SAO JOAO,292100,Arsênio,BA,37,26,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
MATA VERDE,314055,Arsênio,MG,4,0,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0
MATELANDIA,411560,Arsênio,PR,50,15,30,1,4,0,4,0.11428571428571428,0,0,0,0,1,0,0,0,0,0,0
MATERLANDIA,314060,Arsênio,MG,9,9,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MATHIAS LOBATO,317150,Arsênio,MG,23,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATIAS CARDOSO,314085,Arsênio,MG,51,21,11,2,17,0,17,0.5666666666666667,0,0,0,0,0,0,0,0,0,0,0
MATINHOS,411570,Arsênio,PR,20,0,16,2,2,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0
MATIPO,314090,Arsênio,MG,19,0,16,0,3,0,3,0.15789473684210525,0,0,0,0,0,0,0,0,0,0,0
MATO RICO,411573,Arsênio,PR,18,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATO VERDE,314100,Arsênio,MG,14,5,5,0,4,0,4,0.4444444444444444,0,0,0,0,0,1,0,0,0,0,0
MATOS COSTA,421070,Arsênio,SC,18,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATOZINHOS,314110,Arsênio,MG,10,5,3,0,2,0,2,0.4,0,0,0,0,0,0,0,2,0,3,0
MATUTINA,314120,Arsênio,MG,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAUA DA SERRA,411575,Arsênio,PR,18,0,10,7,1,0,1,0.05555555555555555,0,0,0,0,0,0,1,0,0,0,0
MAURILANDIA,521300,Arsênio,GO,10,1,3,5,1,0,1,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0
MAXIMILIANO DE ALMEIDA,431220,Arsênio,RS,50,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDEIROS,314130,Arsênio,MG,6,2,0,2,2,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0
MEDEIROS NETO,292110,Arsênio,BA,11,11,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MEDIANEIRA,411580,Arsênio,PR,36,0,16,0,20,0,20,0.5555555555555556,0,0,0,0,0,0,0,0,0,0,2
MEDINA,314140,Arsênio,MG,9,6,0,1,2,0,2,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0
MENDES PIMENTEL,314150,Arsênio,MG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCES,314160,Arsênio,MG,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MERIDIANO,352960,Arsênio,SP,46,11,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESOPOLIS,352965,Arsênio,SP,38,9,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIGUEL CALMON,292120,Arsênio,BA,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIGUELOPOLIS,352970,Arsênio,SP,33,0,16,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MIMOSO DE GOIAS,521305,Arsênio,GO,8,5,1,0,2,0,2,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0
MINACU,521308,Arsênio,GO,1,1,0,0,0,0,0,NA,NA,6,0,0,0,0,0,0,0,0,0
MINAS DO LEAO,431225,Arsênio,RS,28,0,26,1,1,0,1,0.03571428571428571,0,0,0,0,0,0,0,0,0,0,0
MINAS NOVAS,314180,Arsênio,MG,14,14,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MINDURI,314190,Arsênio,MG,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRA ESTRELA,353000,Arsênio,SP,26,7,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRABELA,314200,Arsênio,MG,7,5,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
MIRACATU,352990,Arsênio,SP,100,0,46,48,6,0,6,0.06,0,0,0,0,0,0,0,0,0,0,0
MIRACEMA,330300,Arsênio,RJ,2,0,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0
MIRADOR,411590,Arsênio,PR,15,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRAGUAI,431230,Arsênio,RS,78,0,76,0,2,0,2,0.02564102564102564,0,0,0,0,0,0,0,0,0,0,0
MIRAI,314220,Arsênio,MG,12,12,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MIRANDA,500560,Arsênio,MS,7,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MIRANGABA,292140,Arsênio,BA,4,4,0,0,0,0,0,NA,NA,2,0,0,0,0,0,0,0,0,0
MIRANTE,292145,Arsênio,BA,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRANTE DO PARANAPANEMA,353020,Arsênio,SP,83,23,24,27,9,0,9,0.15,0,0,0,0,0,0,0,0,0,0,0
MIRAVANIA,314225,Arsênio,MG,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MIRIM DOCE,421085,Arsênio,SC,34,0,2,26,6,0,6,0.17647058823529413,0,0,0,0,0,0,0,0,0,0,0
MISSAL,411605,Arsênio,PR,18,1,1,14,2,0,2,0.11764705882352941,0,0,0,0,0,0,0,0,0,1,0
MOCOCA,353050,Arsênio,SP,83,10,23,50,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1
MODELO,421090,Arsênio,SC,75,11,21,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOEDA,314230,Arsênio,MG,24,9,8,3,4,0,4,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0
MOITA BONITA,280410,Arsênio,SE,2,0,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0
MOMBACA,230850,Arsênio,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MOMBUCA,353090,Arsênio,SP,13,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MONCOES,353100,Arsênio,SP,21,6,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONDAI,421100,Arsênio,SC,47,7,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MONGAGUA,353110,Arsênio,SP,20,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MONJOLOS,314250,Arsênio,MG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONSENHOR PAULO,314260,Arsênio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,4,0
MONSENHOR TABOSA,230860,Arsênio,CE,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTALVANIA,314270,Arsênio,MG,77,73,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0
MONTE ALEGRE DE GOIAS,521350,Arsênio,GO,18,4,9,4,1,0,1,0.07142857142857142,0,1,0,0,1,0,0,0,0,0,0
MONTE ALTO,353130,Arsênio,SP,60,4,28,28,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
MONTE APRAZIVEL,353140,Arsênio,SP,71,0,33,37,1,0,1,0.014084507042253521,0,0,0,0,0,7,0,0,0,0,0
MONTE AZUL,314290,Arsênio,MG,18,3,8,2,5,0,5,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0
MONTE BELO,314300,Arsênio,MG,8,8,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MONTE CASTELO,421110,Arsênio,SC,37,0,5,17,15,0,15,0.40540540540540543,0,0,0,0,0,0,0,0,0,0,0
MONTE FORMOSO,314315,Arsênio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MONTE MOR,353180,Arsênio,SP,113,1,28,62,22,0,22,0.19642857142857142,0,0,0,0,0,1,0,0,0,0,0
MONTE SANTO DE MINAS,314320,Arsênio,MG,33,23,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MONTE SIAO,314340,Arsênio,MG,18,11,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MONTEIRO LOBATO,353170,Arsênio,SP,80,24,18,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTENEGRO,431240,Arsênio,RS,50,18,31,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2
MONTES CLAROS,314330,Arsênio,MG,48,23,17,8,0,0,0,0,0,5,0,0,1,6,0,0,0,0,1
MONTES CLAROS DE GOIAS,521370,Arsênio,GO,2,2,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0
MONTEZUMA,314345,Arsênio,MG,16,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTIVIDIU,521375,Arsênio,GO,22,6,6,7,3,0,3,0.1875,0,0,0,0,0,0,0,0,0,0,0
MORADA NOVA DE MINAS,314350,Arsênio,MG,14,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOREIRA SALES,411610,Arsênio,PR,38,0,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORPARA,292160,Arsênio,BA,11,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORRETES,411620,Arsênio,PR,45,9,24,0,12,0,12,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0
MORRINHOS,521380,Arsênio,GO,46,5,26,8,7,0,7,0.17073170731707318,0,0,0,0,0,3,0,0,0,0,1
MORRO DA GARCA,314360,Arsênio,MG,15,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORRO DO CHAPEU,292170,Arsênio,BA,23,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORRO REDONDO,431245,Arsênio,RS,23,0,22,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1
MORRO REUTER,431247,Arsênio,RS,31,6,23,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MORTUGABA,292180,Arsênio,BA,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MORUNGABA,353200,Arsênio,SP,16,0,11,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
MOSTARDAS,431250,Arsênio,RS,15,2,9,2,2,0,2,0.15384615384615385,0,0,0,0,0,0,1,0,0,0,0
MOZARLANDIA,521400,Arsênio,GO,32,5,15,7,5,0,5,0.18518518518518517,0,1,0,0,0,0,0,0,0,0,0
MUCURI,292200,Arsênio,BA,20,16,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
MUITOS CAPOES,431261,Arsênio,RS,59,0,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MULUNGU,230910,Arsênio,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MULUNGU DO MORRO,292205,Arsênio,BA,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUNDO NOVO,292210,Arsênio,BA,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
MUNDO NOVO,500568,Arsênio,MS,10,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
MUNDO NOVO,521405,Arsênio,GO,2,2,0,0,0,0,0,NA,NA,0,0,0,0,1,1,0,0,0,0
MUNHOZ,314380,Arsênio,MG,16,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUNIZ FERREIRA,292220,Arsênio,BA,12,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUQUEM DE SAO FRANCISCO,292225,Arsênio,BA,11,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUQUI,320380,Arsênio,ES,20,0,0,16,4,0,4,0.2,0,0,0,0,0,0,0,0,0,0,0
MURITIBA,292230,Arsênio,BA,12,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUZAMBINHO,314410,Arsênio,MG,18,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
NACIP RAYDAN,314420,Arsênio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
NANUQUE,314430,Arsênio,MG,6,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
NAO-ME-TOQUE,431265,Arsênio,RS,37,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NARANDIBA,353220,Arsênio,SP,23,0,6,14,3,0,3,0.13043478260869565,0,0,0,0,0,0,0,0,0,0,0
NATERCIA,314440,Arsênio,MG,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NATIVIDADE,171420,Arsênio,TO,6,0,5,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
NATIVIDADE,330310,Arsênio,RJ,2,0,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0
NAVIRAI,500570,Arsênio,MS,58,0,37,21,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
NAZARE,171430,Arsênio,TO,10,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAZARE,292250,Arsênio,BA,10,5,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NAZARE PAULISTA,353240,Arsênio,SP,36,8,12,15,1,0,1,0.03571428571428571,0,0,0,0,0,0,0,0,0,0,0
NAZARENO,314450,Arsênio,MG,31,21,2,8,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
