municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729404,cnae_729405,cnae_2019399,cnae_2093200,cnae_2522500,cnae_2539002,cnae_2721000
CASEARA,170390,Cádmio,TO,7,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0
CASEIROS,430495,Cádmio,RS,25,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0
CASIMIRO DE ABREU,330130,Cádmio,RJ,6,0,0,4,2,0,2,0.3333333333333333,0,0,0,0,3,0,3,0
CASSIA,311510,Cádmio,MG,26,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0
CASSIA DOS COQUEIROS,351090,Cádmio,SP,33,4,8,21,0,0,0,0,0,0,0,0,0,0,0,0
CASTELANDIA,520505,Cádmio,GO,10,6,0,0,4,0,4,1,0,0,0,0,0,0,0,0
CASTELO,320140,Cádmio,ES,29,7,4,18,0,0,0,0,0,0,0,0,0,0,2,0
CASTRO,410490,Cádmio,PR,90,0,46,44,0,0,0,0,0,0,0,0,0,0,2,0
CATANDUVAS,410500,Cádmio,PR,66,0,32,32,2,0,2,0.030303030303030304,0,0,0,0,0,0,0,0
CATANDUVAS,420400,Cádmio,SC,25,3,2,18,2,0,2,0.09090909090909091,0,0,0,0,0,0,0,0
CATIGUA,351120,Cádmio,SP,43,15,4,23,1,0,1,0.03571428571428571,0,0,0,0,0,0,0,0
CATUIPE,430500,Cádmio,RS,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
CATUNDA,230365,Cádmio,CE,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CATURAI,520520,Cádmio,GO,12,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CATUTI,311547,Cádmio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CAVALCANTE,520530,Cádmio,GO,12,3,5,2,2,0,2,0.2222222222222222,0,0,0,0,0,0,0,0
CAXAMBU DO SUL,420410,Cádmio,SC,16,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0
CEDRO,260430,Cádmio,PE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CEDRO DO ABAETE,311560,Cádmio,MG,24,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CEILANDIA,530010,Cádmio,DF,15,0,5,10,0,0,0,0,0,9,2,3,2,0,26,1
CELSO RAMOS,420415,Cádmio,SC,18,0,4,11,3,0,3,0.16666666666666666,0,0,0,0,0,0,0,0
CENTENARIO,170410,Cádmio,TO,7,0,0,6,0,1,1,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0
CENTENARIO DO SUL,410510,Cádmio,PR,40,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0
CENTRALINA,311580,Cádmio,MG,16,9,0,6,0,1,1,0.14285714285714285,0.14285714285714285,0,0,0,0,0,1,0
CERES,520540,Cádmio,GO,12,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0
CERRO AZUL,410520,Cádmio,PR,27,3,16,3,4,1,5,0.20833333333333334,0.041666666666666664,0,0,1,1,0,0,0
CERRO GRANDE DO SUL,430517,Cádmio,RS,22,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0
CERRO LARGO,430520,Cádmio,RS,119,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0
CERRO NEGRO,420417,Cádmio,SC,23,2,5,13,3,0,3,0.14285714285714285,0,0,0,0,0,0,0,0
CESARIO LANGE,351160,Cádmio,SP,104,37,35,32,0,0,0,0,0,0,0,2,1,0,0,0
CEU AZUL,410530,Cádmio,PR,18,0,10,8,0,0,0,0,0,0,0,0,0,0,1,0
CEZARINA,520545,Cádmio,GO,41,11,7,17,6,0,6,0.2,0,0,0,0,1,0,0,0
CHAPADA,430530,Cádmio,RS,39,1,37,1,0,0,0,0,0,0,0,0,0,0,0,0
CHAPADA GAUCHA,311615,Cádmio,MG,14,10,0,0,4,0,4,1,0,0,0,0,0,0,0,0
CHAPADAO DO LAGEADO,420419,Cádmio,SC,25,0,5,18,1,1,2,0.08,0.04,0,0,0,0,0,0,0
CHAPADAO DO SUL,500295,Cádmio,MS,24,0,13,7,4,0,4,0.16666666666666666,0,0,0,0,0,0,0,0
CHAPECO,420420,Cádmio,SC,133,1,44,88,0,0,0,0,0,0,0,2,6,1,19,1
CHARQUEADA,351170,Cádmio,SP,42,6,11,22,3,0,3,0.08333333333333333,0,0,0,0,1,1,2,0
CHARQUEADAS,430535,Cádmio,RS,24,0,23,1,0,0,0,0,0,0,0,0,0,1,2,0
CHIAPETTA,430540,Cádmio,RS,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
CHOPINZINHO,410540,Cádmio,PR,24,1,16,0,7,0,7,0.30434782608695654,0,0,0,0,0,0,0,0
CHORROCHO,290770,Cádmio,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CHUI,430543,Cádmio,RS,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
CHUVISCA,430544,Cádmio,RS,34,0,27,7,0,0,0,0,0,0,0,0,0,0,0,0
CIANORTE,410550,Cádmio,PR,82,2,44,36,0,0,0,0,0,0,0,0,2,0,2,0
CICERO DANTAS,290780,Cádmio,BA,8,8,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CIDADE GAUCHA,410560,Cádmio,PR,20,0,10,9,1,0,1,0.05,0,0,0,0,0,0,0,0
CIDADE OCIDENTAL,520549,Cádmio,GO,32,8,2,12,10,0,10,0.4166666666666667,0,0,0,0,0,0,0,0
CIDREIRA,430545,Cádmio,RS,23,2,19,2,0,0,0,0,0,0,0,0,0,0,1,0
CIPO,290790,Cádmio,BA,14,14,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CIPOTANEA,311630,Cádmio,MG,28,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0
CIRIACO,430550,Cádmio,RS,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
CLARO DOS POCOES,311650,Cádmio,MG,7,2,0,0,5,0,5,1,0,0,0,0,0,0,0,0
CLAUDIO,311660,Cádmio,MG,13,8,0,5,0,0,0,0,0,0,1,0,0,0,14,0
CLEVELANDIA,410570,Cádmio,PR,24,1,16,0,7,0,7,0.30434782608695654,0,0,0,0,0,0,1,0
COARACI,290800,Cádmio,BA,16,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
COCALZINHO DE GOIAS,520551,Cádmio,GO,27,8,15,4,0,0,0,0,0,0,0,0,0,0,0,0
COIMBRA,311670,Cádmio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
COLINAS DO TOCANTINS,170550,Cádmio,TO,16,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0
COLMEIA,171670,Cádmio,TO,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0
COLOMBIA,351210,Cádmio,SP,35,1,16,17,1,0,1,0.029411764705882353,0,0,0,0,0,0,0,0
COLOMBO,410580,Cádmio,PR,118,0,62,54,2,0,2,0.01694915254237288,0,0,0,2,4,0,12,1
COLORADO,430560,Cádmio,RS,17,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0
COLUNA,311680,Cádmio,MG,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
COMBINADO,170555,Cádmio,TO,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
COMENDADOR GOMES,311690,Cádmio,MG,15,2,0,7,6,0,6,0.46153846153846156,0,0,0,0,0,0,0,0
COMERCINHO,311700,Cádmio,MG,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CONCEICAO DA APARECIDA,311710,Cádmio,MG,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CONCEICAO DA BARRA,320160,Cádmio,ES,14,0,0,12,2,0,2,0.14285714285714285,0,0,0,0,0,0,3,0
CONCEICAO DA BARRA DE MINAS,311520,Cádmio,MG,9,9,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CONCEICAO DA FEIRA,290820,Cádmio,BA,8,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
CONCEICAO DO CASTELO,320170,Cádmio,ES,14,0,0,12,2,0,2,0.14285714285714285,0,0,0,0,0,0,0,0
CONCEICAO DO MATO DENTRO,311750,Cádmio,MG,8,8,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CONCEICAO DO PARA,311760,Cádmio,MG,23,23,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CONCEICAO DO RIO VERDE,311770,Cádmio,MG,12,6,0,6,0,0,0,0,0,0,0,0,0,0,1,0
CONCEICAO DOS OUROS,311780,Cádmio,MG,19,7,0,11,0,1,1,0.08333333333333333,0.08333333333333333,0,0,0,0,0,0,0
CONCHAS,351230,Cádmio,SP,22,5,6,8,3,0,3,0.17647058823529413,0,0,0,0,0,0,0,0
CONCORDIA,420430,Cádmio,SC,39,1,4,34,0,0,0,0,0,0,0,0,0,0,1,1
CONDE,290860,Cádmio,BA,15,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CONDEUBA,290870,Cádmio,BA,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CONDOR,430570,Cádmio,RS,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
CONEGO MARINHO,311783,Cádmio,MG,14,11,0,0,3,0,3,1,0,0,0,0,0,0,0,0
CONFINS,311787,Cádmio,MG,11,2,0,0,9,0,9,1,0,0,0,0,0,0,1,0
CONGONHAL,311790,Cádmio,MG,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CONGONHAS,311800,Cádmio,MG,71,71,0,0,0,0,0,NA,NA,1,0,0,1,0,2,0
CONGONHINHAS,410600,Cádmio,PR,28,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0
CONQUISTA,311820,Cádmio,MG,6,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
CONSELHEIRO LAFAIETE,311830,Cádmio,MG,54,38,0,16,0,0,0,0,0,0,0,1,0,0,0,0
CONSELHEIRO MAIRINCK,410610,Cádmio,PR,36,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0
CONSTANTINA,430580,Cádmio,RS,53,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTENDA,410620,Cádmio,PR,30,0,20,7,3,0,3,0.1,0,0,0,0,0,0,1,0
CONTENDAS DO SINCORA,290880,Cádmio,BA,7,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0
CORACAO DE JESUS,311880,Cádmio,MG,26,8,0,4,14,0,14,0.7777777777777778,0,0,0,0,0,0,0,0
CORBELIA,410630,Cádmio,PR,57,0,30,25,2,0,2,0.03508771929824561,0,0,0,0,0,0,0,0
CORDISBURGO,311890,Cádmio,MG,7,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
CORINTO,311910,Cádmio,MG,34,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0
CORNELIO PROCOPIO,410640,Cádmio,PR,63,2,44,15,2,0,2,0.03278688524590164,0,0,0,0,1,0,1,0
COROADOS,351250,Cádmio,SP,21,6,2,13,0,0,0,0,0,0,0,0,0,0,3,0
CORONEL BICACO,430590,Cádmio,RS,40,0,40,0,0,0,0,0,0,0,0,0,0,0,1,0
CORONEL DOMINGOS SOARES,410645,Cádmio,PR,14,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0
CORONEL FREITAS,420440,Cádmio,SC,23,3,4,16,0,0,0,0,0,0,0,0,0,0,0,0
CORONEL MACEDO,351260,Cádmio,SP,39,12,0,21,5,1,6,0.2222222222222222,0.037037037037037035,0,0,0,0,0,0,0
CORONEL MARTINS,420445,Cádmio,SC,21,1,5,15,0,0,0,0,0,0,0,0,0,0,0,0
CORONEL SAPUCAIA,500315,Cádmio,MS,15,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0
CORONEL VIVIDA,410650,Cádmio,PR,20,0,16,2,2,0,2,0.1,0,0,0,0,0,0,0,0
CORONEL XAVIER CHAVES,311970,Cádmio,MG,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CORREGO DANTA,311980,Cádmio,MG,5,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0
CORREGO DO OURO,520570,Cádmio,GO,7,3,1,2,1,0,1,0.25,0,0,0,0,0,0,0,0
CORREIA PINTO,420455,Cádmio,SC,32,0,2,26,4,0,4,0.125,0,0,0,0,0,0,0,0
CORRENTES,260470,Cádmio,PE,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CORUMBA,500320,Cádmio,MS,16,0,10,3,3,0,3,0.1875,0,0,0,0,0,0,0,0
CORUMBAIBA,520590,Cádmio,GO,49,5,25,14,5,0,5,0.11363636363636363,0,0,0,0,0,0,0,0
CORUMBATAI DO SUL,410655,Cádmio,PR,14,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0
COTEGIPE,290940,Cádmio,BA,14,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0
COTIA,351300,Cádmio,SP,38,0,25,13,0,0,0,0,0,0,0,0,15,1,9,0
COTIPORA,430595,Cádmio,RS,38,0,36,1,1,0,1,0.02631578947368421,0,0,0,0,0,0,0,0
COXIM,500330,Cádmio,MS,71,0,46,25,0,0,0,0,0,0,0,0,0,0,0,0
CRATEUS,230410,Cádmio,CE,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CRAVOLANDIA,290950,Cádmio,BA,15,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0
CRICIUMA,420460,Cádmio,SC,20,0,2,18,0,0,0,0,0,1,0,2,8,0,15,0
CRISOPOLIS,290960,Cádmio,BA,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CRISSIUMAL,430600,Cádmio,RS,33,0,31,1,1,0,1,0.030303030303030304,0,0,0,0,1,0,0,0
CRISTAIS,312020,Cádmio,MG,17,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0
CRISTAL,430605,Cádmio,RS,25,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0
CRISTALANDIA,170610,Cádmio,TO,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
CRISTALIA,312030,Cádmio,MG,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CRISTALINA,520620,Cádmio,GO,17,4,2,2,9,0,9,0.6923076923076923,0,1,0,0,0,0,1,0
CRISTIANO OTONI,312040,Cádmio,MG,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
CRISTIANOPOLIS,520630,Cádmio,GO,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CRISTOPOLIS,290970,Cádmio,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CRIXAS,520640,Cádmio,GO,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CROMINIA,520650,Cádmio,GO,20,3,5,7,5,0,5,0.29411764705882354,0,0,0,0,0,0,0,0
CRUCILANDIA,312060,Cádmio,MG,17,7,0,4,4,2,6,0.6,0.2,0,0,0,0,0,0,0
CRUZ ALTA,430610,Cádmio,RS,45,0,44,0,0,1,1,0.022222222222222223,0.022222222222222223,0,0,0,0,0,1,0
CRUZ MACHADO,410680,Cádmio,PR,57,0,30,27,0,0,0,0,0,0,0,0,0,0,0,0
CRUZALIA,351330,Cádmio,SP,18,2,6,9,1,0,1,0.0625,0,0,0,0,0,0,0,0
CRUZEIRO DA FORTALEZA,312070,Cádmio,MG,11,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DO IGUACU,410657,Cádmio,PR,72,0,32,40,0,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DO OESTE,410660,Cádmio,PR,38,0,18,20,0,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DO SUL,410670,Cádmio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DO SUL,430620,Cádmio,RS,8,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0
CRUZILIA,312080,Cádmio,MG,27,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0
CRUZMALTINA,410685,Cádmio,PR,55,1,37,17,0,0,0,0,0,0,0,0,0,0,0,0
CUBATAO,351350,Cádmio,SP,50,2,15,33,0,0,0,0,0,0,0,1,0,0,2,0
CUMARI,520660,Cádmio,GO,12,1,7,2,2,0,2,0.18181818181818182,0,0,0,0,0,0,0,0
CUNHA PORA,420470,Cádmio,SC,20,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0
CUNHATAI,420475,Cádmio,SC,36,2,2,32,0,0,0,0,0,0,0,0,0,0,0,0
CURIONOPOLIS,150277,Cádmio,PA,76,10,30,36,0,0,0,0,0,5,2,0,0,0,0,0
CURITIBA,410690,Cádmio,PR,104,0,58,40,6,0,6,0.057692307692307696,0,3,2,4,22,1,111,4
CURITIBANOS,420480,Cádmio,SC,36,4,2,22,8,0,8,0.25,0,0,0,0,0,0,0,0
CURIUVA,410700,Cádmio,PR,53,0,26,27,0,0,0,0,0,0,0,0,0,0,0,0
CURRAL DE DENTRO,312087,Cádmio,MG,34,19,0,3,12,0,12,0.8,0,0,0,0,0,0,0,0
CURVELO,312090,Cádmio,MG,80,18,15,47,0,0,0,0,0,0,0,0,0,0,2,0
DAMIANOPOLIS,520670,Cádmio,GO,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
DAMOLANDIA,520680,Cádmio,GO,4,0,0,0,4,0,4,1,0,0,0,0,0,0,0,0
DARIO MEIRA,291000,Cádmio,BA,13,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0
DAVID CANABARRO,430630,Cádmio,RS,34,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0
DELFINOPOLIS,312120,Cádmio,MG,15,15,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
DELMIRO GOUVEIA,270240,Cádmio,AL,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
DEODAPOLIS,500345,Cádmio,MS,79,5,32,42,0,0,0,0,0,0,0,0,0,0,0,0
DERRUBADAS,430632,Cádmio,RS,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
DESCANSO,420490,Cádmio,SC,35,0,6,29,0,0,0,0,0,0,0,0,0,0,0,0
DESTERRO DO MELO,312150,Cádmio,MG,15,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0
DIAMANTE D'OESTE,410715,Cádmio,PR,37,0,20,17,0,0,0,0,0,0,0,0,0,0,0,0
DIAMANTE DO NORTE,410710,Cádmio,PR,15,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0
DIAMANTE DO SUL,410712,Cádmio,PR,19,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0
DIAMANTINA,312160,Cádmio,MG,4,4,0,0,0,0,0,NA,NA,1,0,0,0,0,1,0
DIANOPOLIS,170700,Cádmio,TO,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAS D'AVILA,291005,Cádmio,BA,80,74,0,6,0,0,0,0,0,0,0,0,4,0,10,0
DILERMANDO DE AGUIAR,430637,Cádmio,RS,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
DIONISIO CERQUEIRA,420500,Cádmio,SC,29,2,2,25,0,0,0,0,0,0,0,0,0,0,0,0
DIORAMA,520710,Cádmio,GO,14,5,2,3,4,0,4,0.4444444444444444,0,0,0,0,0,0,0,0
DIRCE REIS,351385,Cádmio,SP,24,6,2,16,0,0,0,0,0,0,0,0,0,0,0,0
DIVINESIA,312190,Cádmio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
DIVINO,312200,Cádmio,MG,22,4,12,0,6,0,6,0.3333333333333333,0,0,0,0,0,0,0,0
DIVINO DAS LARANJEIRAS,312210,Cádmio,MG,17,17,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
DIVINO DE SAO LOURENCO,320180,Cádmio,ES,3,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0
DIVINOLANDIA,351390,Cádmio,SP,66,16,23,27,0,0,0,0,0,0,0,0,0,0,0,0
DIVINOPOLIS,312230,Cádmio,MG,38,33,4,0,1,0,1,0.2,0,1,0,0,0,0,17,0
DIVINOPOLIS DE GOIAS,520830,Cádmio,GO,8,8,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
DIVISA ALEGRE,312235,Cádmio,MG,14,10,0,0,4,0,4,1,0,0,0,1,0,0,0,0
DIVISA NOVA,312240,Cádmio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
DIVISOPOLIS,312245,Cádmio,MG,7,4,0,0,3,0,3,1,0,0,0,0,0,0,0,0
DOIS IRMAOS,430640,Cádmio,RS,152,39,113,0,0,0,0,0,0,0,0,1,0,0,3,0
DOIS IRMAOS DO BURITI,500348,Cádmio,MS,27,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0
DOIS VIZINHOS,410720,Cádmio,PR,35,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0
DOLCINOPOLIS,351420,Cádmio,SP,16,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0
DOM FELICIANO,430650,Cádmio,RS,29,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM PEDRITO,430660,Cádmio,RS,33,5,26,2,0,0,0,0,0,0,0,0,0,0,1,0
DOM SILVERIO,312270,Cádmio,MG,20,2,14,2,2,0,2,0.1111111111111111,0,0,0,0,0,0,0,0
DOMINGOS MARTINS,320190,Cádmio,ES,40,4,4,20,10,2,12,0.3333333333333333,0.05555555555555555,0,0,0,0,0,0,0
DONA EMMA,420510,Cádmio,SC,20,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0
DONA EUSEBIA,312290,Cádmio,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0
DONA FRANCISCA,430670,Cádmio,RS,26,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0
DORES DO INDAIA,312320,Cádmio,MG,20,11,0,2,7,0,7,0.7777777777777778,0,0,0,0,0,0,0,0
DORES DO RIO PRETO,320200,Cádmio,ES,27,0,0,23,4,0,4,0.14814814814814814,0,0,0,0,0,0,0,0
DOURADINA,410725,Cádmio,PR,60,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0
DOURADINA,500350,Cádmio,MS,32,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0
DOURADO,351430,Cádmio,SP,42,3,9,29,1,0,1,0.02564102564102564,0,0,0,0,0,0,0,0
DOURADOS,500370,Cádmio,MS,187,0,174,13,0,0,0,0,0,0,0,0,0,0,1,0
DOUTOR CAMARGO,410730,Cádmio,PR,17,0,10,6,1,0,1,0.058823529411764705,0,0,0,0,0,0,0,0
DOUTOR MAURICIO CARDOSO,430673,Cádmio,RS,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUTOR PEDRINHO,420515,Cádmio,SC,41,0,7,32,2,0,2,0.04878048780487805,0,0,0,0,0,0,0,0
DOVERLANDIA,520725,Cádmio,GO,27,6,11,6,4,0,4,0.19047619047619047,0,0,0,0,0,0,0,0
DUAS BARRAS,330160,Cádmio,RJ,21,1,0,15,4,1,5,0.25,0.05,0,0,0,0,0,0,0
DURANDE,312352,Cádmio,MG,10,0,8,1,1,0,1,0.1,0,0,0,0,0,0,0,0
ECHAPORA,351470,Cádmio,SP,16,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0
ECOPORANGA,320210,Cádmio,ES,62,7,0,52,3,0,3,0.05454545454545454,0,0,0,0,0,0,0,0
EDEALINA,520735,Cádmio,GO,18,4,6,3,5,0,5,0.35714285714285715,0,0,0,0,0,0,0,0
EDEIA,520740,Cádmio,GO,15,1,8,5,1,0,1,0.07142857142857142,0,0,0,0,0,0,0,0
ELDORADO,351480,Cádmio,SP,104,1,18,72,13,0,13,0.1262135922330097,0,0,0,0,0,0,0,0
ELDORADO,500375,Cádmio,MS,25,1,10,14,0,0,0,0,0,0,0,0,0,0,0,0
ELDORADO DOS CARAJAS,150295,Cádmio,PA,16,0,12,4,0,0,0,0,0,1,0,0,0,0,0,0
ELIAS FAUSTO,351490,Cádmio,SP,55,0,26,26,3,0,3,0.05454545454545454,0,0,0,0,1,0,2,0
ELISIO MEDRADO,291030,Cádmio,BA,13,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0
EMBU-GUACU,351510,Cádmio,SP,46,2,21,22,1,0,1,0.022727272727272728,0,0,0,1,0,0,1,0
EMILIANOPOLIS,351512,Cádmio,SP,6,0,0,5,1,0,1,0.16666666666666666,0,0,0,0,0,0,0,0
ENCANTADO,430680,Cádmio,RS,61,0,59,2,0,0,0,0,0,0,0,0,1,0,1,0
ENCRUZILHADA,291040,Cádmio,BA,11,3,0,8,0,0,0,0,0,1,0,0,0,0,0,0
ENCRUZILHADA DO SUL,430690,Cádmio,RS,24,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0
ENEAS MARQUES,410740,Cádmio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,1,0
ENGENHEIRO BELTRAO,410750,Cádmio,PR,72,0,40,32,0,0,0,0,0,0,0,0,1,0,0,0
ENGENHEIRO NAVARRO,312380,Cádmio,MG,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTRE RIOS,291050,Cádmio,BA,20,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENTRE RIOS,420517,Cádmio,SC,14,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0
ENTRE RIOS DE MINAS,312390,Cádmio,MG,52,46,0,6,0,0,0,0,0,0,0,0,0,0,0,0
ENTRE RIOS DO SUL,430695,Cádmio,RS,33,2,30,1,0,0,0,0,0,0,0,0,0,0,0,0
ENTRE-IJUIS,430693,Cádmio,RS,15,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0
EREBANGO,430697,Cádmio,RS,39,1,36,2,0,0,0,0,0,0,0,0,0,0,0,0
ERECHIM,430700,Cádmio,RS,106,4,99,3,0,0,0,0,0,0,0,0,0,0,8,1
ERVAL GRANDE,430720,Cádmio,RS,32,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0
ERVAL SECO,430730,Cádmio,RS,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
ERVAL VELHO,420520,Cádmio,SC,20,2,4,12,2,0,2,0.1111111111111111,0,0,0,0,0,0,0,0
ERVALIA,312400,Cádmio,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ESMERALDA,430740,Cádmio,RS,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPERA FELIZ,312420,Cádmio,MG,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPERANCA NOVA,410752,Cádmio,PR,21,1,10,8,2,0,2,0.1,0,0,0,0,0,0,0,0
ESPINOSA,312430,Cádmio,MG,23,13,0,2,8,0,8,0.8,0,0,0,0,0,0,0,0
ESPIRITO SANTO DO PINHAL,351518,Cádmio,SP,26,8,8,10,0,0,0,0,0,0,0,1,0,2,1,0
ESPIRITO SANTO DO TURVO,351519,Cádmio,SP,6,0,0,5,1,0,1,0.16666666666666666,0,0,0,0,0,0,0,0
ESPLANADA,291060,Cádmio,BA,12,12,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ESPUMOSO,430750,Cádmio,RS,119,3,115,0,1,0,1,0.008620689655172414,0,0,0,0,0,0,0,0
ESTACAO,430755,Cádmio,RS,71,2,66,3,0,0,0,0,0,0,0,0,0,0,1,0
ESTANCIA VELHA,430760,Cádmio,RS,13,1,12,0,0,0,0,0,0,0,1,1,3,0,9,0
