municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,consistente,prop1,prop2,cnae_161001,cnae_1071600,cnae_1072402,cnae_2022300,cnae_2029100,cnae_2031200,cnae_2072000,cnae_2091600,cnae_2093200,total_cnaes
LICINIO DE ALMEIDA,291940,Acrilamida,BA,1,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
LIDIANOPOLIS,411342,Acrilamida,PR,25,0,10,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
LIMEIRA DO OESTE,313862,Acrilamida,MG,6,0,0,0,6,0,6,1,1,0,2,1,0,0,0,0,0,0,0,3
LINDOESTE,411345,Acrilamida,PR,16,0,6,9,1,0,1,1,0.0625,0,1,1,0,0,0,0,0,0,0,2
LINDOIA DO SUL,420985,Acrilamida,SC,43,5,6,30,2,0,2,1,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0
LINS,352710,Acrilamida,SP,87,1,23,63,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2
LIVRAMENTO DE NOSSA SENHORA,291950,Acrilamida,BA,2,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
LOANDA,411350,Acrilamida,PR,16,0,6,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
LONDRINA,411370,Acrilamida,PR,245,0,85,160,0,0,0,1,0,0,25,4,0,1,4,8,1,4,3,50
LONTRA,313865,Acrilamida,MG,2,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
LORENA,352720,Acrilamida,SP,86,9,25,52,0,0,0,1,0,0,1,0,0,0,2,2,0,0,2,7
LOURDES,352725,Acrilamida,SP,13,6,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LUCELIA,352740,Acrilamida,SP,43,10,11,22,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,5
LUCIANOPOLIS,352750,Acrilamida,SP,26,1,7,15,3,0,3,1,0.12,0,0,0,0,0,0,0,0,0,0,0
